setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Sri Lanka,humidity,4,461,0.056323304525130236,0.014085283838993446,6.368217940143554e-05,0.8811518328592861,0.0018340467667613434,True,0.02871614820070308,0.0839304608495574
Sri Lanka,humidity,6,459,0.0705930072682176,0.01665220288318119,2.2425842415245213e-05,0.8833707606762923,0.0012627600502512137,True,0.03795468961718247,0.10323132491925273
Sri Lanka,humidity,8,457,0.04062113694912828,0.015140117808215663,0.007296209575699474,0.8801844024564237,0.0875545149083937,False,0.010946506045025579,0.07029576785323098
Taiwan,rainfall,0,467,-0.007901082386848952,0.030103058860063328,0.7929608391472406,0.7988282092917278,0.9062409590254178,False,-0.06690307775257306,0.05110091297887517
Taiwan,rainfall,1,467,0.0027803720485386416,0.03848240011452394,0.9424025693896912,0.7988128270509129,0.9660707166089936,False,-0.07264513217592827,0.07820587627300557
Taiwan,rainfall,2,466,0.007242970974731595,0.04132758039422387,0.8608772563878163,0.796682522116785,0.9305564067786832,False,-0.0737590865979472,0.08824502854741037
Taiwan,rainfall,4,464,0.01123241818812705,0.028559386213981075,0.694097618531321,0.7944745707231466,0.8550107095981829,False,-0.044743978791275854,0.06720881516752995
Taiwan,rainfall,6,462,0.06492542256680209,0.03528383087015145,0.06575503258737685,0.7966499092518504,0.26055271649284456,False,-0.0042308859386947645,0.13408173107229893
Taiwan,rainfall,8,460,0.03788836231898367,0.033498404464196045,0.25803414841880057,0.7968362112042668,0.5396451994196091,False,-0.02776851043084058,0.10354523506880792
Taiwan,temperature,0,467,0.01845926600265771,0.06550771593514779,0.7781063333622456,0.7988254350782855,0.8973053684459674,False,-0.10993585723023194,0.14685438923554736
Taiwan,temperature,1,467,0.001419492700625996,0.10087269692566883,0.9887724432331089,0.7988107333417799,0.9887724432331089,False,-0.1962909932736849,0.1991299786749369
Taiwan,temperature,2,466,-0.005987907113175789,0.08831623158145233,0.9459442433463062,0.7966691811270705,0.9660707166089936,False,-0.17908772101282233,0.16711190678647075
Taiwan,temperature,4,464,-0.039176185675581524,0.06299715811302019,0.5340258607588366,0.7945064806059887,0.7790340372847568,False,-0.1626506155771011,0.08429824422593804
Taiwan,temperature,6,462,-0.07371138351823528,0.07610761282661613,0.3327871075142057,0.7956815774673263,0.6201123505180195,False,-0.2228823046584029,0.07545953762193233
Taiwan,temperature,8,460,-0.019147868709301546,0.056556853122958564,0.7349414796533578,0.7964434135730711,0.8846252066235992,False,-0.1299993008303003,0.09170356341169723
Taiwan,humidity,0,467,0.06424218924347139,0.08575216214729964,0.4537600760608633,0.7989447854240873,0.7297319071966573,False,-0.1038320485652359,0.23231642705217867
Taiwan,humidity,1,467,-0.03515703575424124,0.11295757301404381,0.755617363990991,0.7988512502073429,0.8846252066235992,False,-0.2565538788617671,0.1862398073532846
Taiwan,humidity,2,466,0.04391859812556305,0.10411304261812564,0.6731449465070459,0.7967317410015788,0.8550107095981829,False,-0.16014296540596318,0.2479801616570893
Taiwan,humidity,4,464,0.03469785214909993,0.08361212716145376,0.678152239899112,0.7944786272903582,0.8550107095981829,False,-0.12918191708734944,0.1985776213855493
Taiwan,humidity,6,462,-0.059606423900460476,0.08734734503198674,0.4949817449225933,0.795559613508802,0.7747540355310156,False,-0.23080722016315447,0.11159437236223352
Taiwan,humidity,8,460,-0.010608767700313576,0.0669980066201315,0.8741853228444065,0.7964310814560951,0.9305564067786832,False,-0.1419248606757713,0.12070732527514416
